"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","Morpeth Stobhill","E05008061","Total",1883,4,144,596,775,302,62
"2011","Newbiggin Central and East","E05008062","Total",2191,2,224,610,1129,154,72
"2011","Newsham","E05008063","Total",1992,5,192,537,1056,161,41
"2011","Norham and Islandshires","E05008064","Total",2061,3,101,674,838,312,133
"2011","Pegswood","E05008065","Total",1711,2,187,562,710,211,39
"2011","Plessey","E05008066","Total",1737,2,36,575,961,144,19
"2011","Ponteland East","E05008067","Total",2046,6,103,502,617,586,232
"2011","Ponteland North","E05008068","Total",1859,3,94,410,726,423,203
"2011","Ponteland South with Heddon","E05008069","Total",1737,1,38,248,589,604,257
"2011","Ponteland West","E05008070","Total",1682,2,40,247,522,581,290
"2011","Prudhoe East","E05008071","Total",2559,3,286,732,1203,273,62
"2011","Prudhoe West","E05008072","Total",1974,2,58,461,918,473,62
"2011","Rothbury","E05008073","Total",2435,5,151,716,939,446,178
"2011","Seaton with Newbiggin West","E05008074","Total",1884,3,80,455,1032,259,55
"2011","Seghill with Seaton Delaval","E05008075","Total",2507,5,380,751,1053,284,34
"2011","Shilbottle","E05008076","Total",2113,1,98,526,883,478,127
"2011","Sleekburn","E05008077","Total",1834,5,171,587,970,77,24
"2011","South Blyth","E05008078","Total",1853,2,11,417,857,514,52
"2011","South Tynedale","E05008079","Total",2043,2,111,473,787,470,200
"2011","Stakeford","E05008080","Total",2135,1,128,657,1021,279,49
"2011","Stocksfield and Broomhaugh","E05008081","Total",2043,2,92,436,762,508,243
"2011","Ulgham","E05008082","Total",2262,1,94,501,994,498,174
"2011","Wensleydale","E05008083","Total",2251,2,356,824,823,184,62
"2011","Wooler","E05008084","Total",2029,2,171,705,802,224,125
"2011","Brotton","E05001505","Total",2998,5,113,1010,1504,317,49
"2011","Coatham","E05001506","Total",2634,16,518,939,838,239,84
"2011","Dormanstown","E05001507","Total",2953,3,292,671,1767,175,45
"2011","Eston","E05001508","Total",3270,8,431,1102,1513,171,45
"2011","Grangetown","E05001509","Total",2080,5,99,646,1249,65,16
"2011","Guisborough","E05001510","Total",3564,7,478,996,1597,385,101
"2011","Hutton","E05001511","Total",3057,1,25,510,1373,989,159
"2011","Kirkleatham","E05001512","Total",3153,7,519,883,1349,340,55
"2011","Lockwood","E05001513","Total",922,2,83,302,406,107,22
"2011","Loftus","E05001514","Total",2793,4,86,930,1386,314,73
"2011","Longbeck","E05001515","Total",2914,5,76,491,1568,666,108
"2011","Newcomen","E05001516","Total",1865,5,110,319,1277,122,32
"2011","Normanby","E05001517","Total",3025,3,237,862,1470,379,74
"2011","Ormesby","E05001518","Total",2682,1,183,684,1431,296,87
